WEAPON_FOUND_FLAG,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,LOCATION_IN_OUT_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_SEX,suspect_race_generalized,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_BORO_NAME,precinct_2020,pct_black_precinct,is_dominant_race_p,total_pop,black,white,hisp_latino,other,stop_patrol_boro,pct_black_boro,OBSERVED_DURATION_MIN,obs_duration_min_bin,suspect_height_bin,suspect_age_bin
0,2017-01-11,2:20:00 PM,2017,January,Wednesday,Based on Radio Run,O,PSB,3.0,33.0,MALE,black,6.0,160.0,THN,MANHATTAN,25,0.462883662060964,0,47405.0,21943.0,10886.0,22634.0,14576.0,PBMN,0.217,3.0,3-5,tall,adult
0,2017-01-11,9:35:00 PM,2017,January,Wednesday,Based on Self Initiated,O,PSB,1.0,20.0,MALE,black,5.6,150.0,MED,BROOKLYN,75,0.5752094606388549,1,183328.0,105452.0,26869.0,67131.0,51007.0,PBBN,0.464,1.0,1,short,young_adult
1,2017-01-11,12:30:00 AM,2017,January,Wednesday,Based on Radio Run,O,PSB,1.0,46.0,MALE,black,5.9,170.0,MED,BROOKLYN,79,0.6079678273489691,1,90263.0,54877.0,20375.0,20014.0,15011.0,PBBN,0.464,1.0,1,tall,middle_age
1,2017-01-12,12:17:00 PM,2017,January,Thursday,Based on Radio Run,I,Transit,2.0,37.0,MALE,hisp_latino,6.0,325.0,HEA,QUEENS,109,0.02666623543585307,0,247354.0,6596.0,95236.0,41164.0,145522.0,PBQN,0.052,2.0,2,tall,middle_age
1,2017-01-12,9:15:00 AM,2017,January,Thursday,Based on Self Initiated,S,Transit,1.0,29.0,MALE,white,5.9,130.0,THN,MANHATTAN,13,0.05194361384023921,1,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,tall,adult
0,2017-01-12,4:27:00 PM,2017,January,Thursday,Based on Radio Run,O,PSB,1.0,30.0,MALE,black,5.8,180.0,MED,BROOKLYN,77,0.7218328484527903,1,90744.0,65502.0,15454.0,10759.0,9788.0,PBBN,0.464,1.0,1,medium,adult
0,2017-01-12,3:58:00 AM,2017,January,Thursday,Based on Radio Run,I,PSB,2.0,35.0,MALE,black,6.1,150.0,THN,BRONX,46,0.3660842433697348,0,128200.0,46932.0,23931.0,85600.0,57337.0,PBBX,0.363,2.0,2,very_tall,adult
1,2017-01-12,8:20:00 PM,2017,January,Thursday,Based on Radio Run,O,PSB,1.0,16.0,MALE,hisp_latino,6.0,180.0,MED,BRONX,42,0.4816328577518117,0,79762.0,38416.0,13814.0,46013.0,27532.0,PBBX,0.363,1.0,1,tall,juvenile
0,2017-01-12,8:17:00 PM,2017,January,Thursday,Based on Radio Run,O,PSB,1.0,22.0,MALE,hisp_latino,5.6,120.0,THN,BRONX,52,0.25148772136360703,0,139307.0,35034.0,37395.0,90981.0,66878.0,PBBX,0.363,1.0,1,short,young_adult
1,2017-01-12,6:16:00 PM,2017,January,Thursday,Based on Self Initiated,O,PSB,1.0,58.0,MALE,black,5.6,220.0,HEA,BRONX,49,0.2490585117511681,0,114712.0,28570.0,50305.0,48721.0,35837.0,PBBX,0.363,1.0,1,short,middle_age
0,2017-01-13,9:00:00 PM,2017,January,Friday,Based on Radio Run,O,PSB,2.0,27.0,MALE,black,6.0,150.0,THN,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,2.0,2,tall,adult
0,2017-01-13,9:54:00 PM,2017,January,Friday,Based on Radio Run,O,Housing,1.0,50.0,MALE,black,6.1,240.0,MED,BROOKLYN,75,0.5752094606388549,1,183328.0,105452.0,26869.0,67131.0,51007.0,PBBN,0.464,1.0,1,very_tall,middle_age
0,2017-01-14,1:37:00 AM,2017,January,Saturday,Based on Radio Run,O,PSB,1.0,34.0,MALE,hisp_latino,5.11,200.0,MED,MANHATTAN,23,0.3139003638552239,0,73106.0,22948.0,24574.0,36656.0,25584.0,PBMN,0.217,1.0,1,very_short,adult
0,2017-01-14,11:20:00 PM,2017,January,Saturday,Based on Self Initiated,O,PSB,5.0,15.0,MALE,hisp_latino,5.9,160.0,THN,MANHATTAN,23,0.3139003638552239,0,73106.0,22948.0,24574.0,36656.0,25584.0,PBMN,0.217,5.0,3-5,tall,juvenile
0,2017-01-14,11:20:00 PM,2017,January,Saturday,Based on Self Initiated,O,PSB,5.0,15.0,MALE,hisp_latino,5.9,165.0,THN,MANHATTAN,23,0.3139003638552239,0,73106.0,22948.0,24574.0,36656.0,25584.0,PBMN,0.217,5.0,3-5,tall,juvenile
1,2017-01-14,12:13:00 AM,2017,January,Saturday,Based on Self Initiated,O,PSB,1.0,35.0,MALE,black,5.11,220.0,MED,BROOKLYN,71,0.7153785977709821,1,98429.0,70414.0,20812.0,9157.0,7203.0,PBBS,0.276,1.0,1,very_short,adult
1,2017-01-14,6:00:00 PM,2017,January,Saturday,Based on Self Initiated,S,Transit,2.0,23.0,MALE,black,5.6,150.0,Muscular,BROOKLYN,73,0.8174006568904103,1,86468.0,70679.0,5148.0,17369.0,10641.0,PBBN,0.464,2.0,2,short,young_adult
0,2017-01-14,9:50:00 PM,2017,January,Saturday,Based on Radio Run,O,PSB,1.0,36.0,MALE,other,5.6,185.0,MED,QUEENS,106,0.18458686224385626,1,122441.0,22601.0,43894.0,28309.0,55946.0,PBQS,0.388,1.0,1,short,middle_age
0,2017-01-15,4:08:00 AM,2017,January,Sunday,Based on Radio Run,O,PSB,5.0,22.0,MALE,black,5.8,165.0,MED,BRONX,52,0.25148772136360703,0,139307.0,35034.0,37395.0,90981.0,66878.0,PBBX,0.363,5.0,3-5,medium,young_adult
0,2017-01-15,4:08:00 AM,2017,January,Sunday,Based on Radio Run,O,PSB,5.0,44.0,MALE,hisp_latino,5.8,160.0,MED,BRONX,52,0.25148772136360703,0,139307.0,35034.0,37395.0,90981.0,66878.0,PBBX,0.363,5.0,3-5,medium,middle_age
0,2017-01-15,9:10:00 PM,2017,January,Sunday,Based on Radio Run,O,PSB,0.0,31.0,MALE,black,5.1,180.0,MED,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,0.1,0,very_short,adult
0,2017-01-15,9:10:00 PM,2017,January,Sunday,Based on Radio Run,O,PSB,0.0,31.0,MALE,black,5.8,160.0,MED,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,0.1,0,medium,adult
0,2017-01-15,9:10:00 PM,2017,January,Sunday,Based on Radio Run,O,PSB,0.0,24.0,MALE,black,6.5,210.0,MED,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,0.1,0,very_tall,young_adult
0,2017-01-15,4:08:00 AM,2017,January,Sunday,Based on Radio Run,O,PSB,5.0,22.0,MALE,black,5.8,165.0,MED,BRONX,52,0.25148772136360703,0,139307.0,35034.0,37395.0,90981.0,66878.0,PBBX,0.363,5.0,3-5,medium,young_adult
0,2017-01-15,4:08:00 AM,2017,January,Sunday,Based on Radio Run,O,PSB,5.0,44.0,MALE,hisp_latino,5.8,160.0,MED,BRONX,52,0.25148772136360703,0,139307.0,35034.0,37395.0,90981.0,66878.0,PBBX,0.363,5.0,3-5,medium,middle_age
